lp,x0,liczba wywolan,a,b,x*,y*,liczba wywolan,x*,y*,liczba wywolan 
39,0.00978376,25,-0.000398691,0.00435862,0.00241197; ,0.000229828; ,38,0.00241189; ,0.000750908; ,14,
40,0.00887882,24,0.00144637,0.00491886,0.00241189; ,0.000721603; ,36,0.00241198; ,0.000196668; ,15,
41,0.00440399,21,0.00151351,0.00286396,0.00241189; ,0.000720479; ,32,0.00241184; ,0.00105714; ,13,
42,0.00932695,25,-0.0008555,0.00390181,0.00241194; ,0.000398494; ,38,0.00241217; ,0.00096118; ,14,
43,0.00688336,23,0.00145821,0.00399288,0.00241182; ,0.00116274; ,34,0.00241199; ,0.000152651; ,13,
44,0.00210756,14,0.00234048,0.00254472,0.00241199; ,0.000133071; ,24,0.00241181; ,0.00119322; ,10,
45,0.000700089,19,0.0018242,0.00280993,0.00241181; ,0.00121993; ,30,0.00241198; ,0.000186095; ,11,
46,0.00190212,15,0.00222122,0.00250104,0.00241205; ,0.000242134; ,26,0.00241202; ,3.13532e-05; ,10,
47,0.00306084,17,0.00224032,0.00262367,0.00241199; ,0.000123172; ,28,0.00241199; ,9.58839e-05; ,11,
48,0.00776564,24,0.000333187,0.00380568,0.00241206; ,0.000304025; ,36,0.0024121; ,0.000519797; ,16,
49,0.00958759,25,-0.00059486,0.00416245,0.00241182; ,0.0011828; ,38,0.002412; ,8.72055e-05; ,14,
50,0.00217279,13,0.0023428,0.00249189,0.00241201; ,1.87522e-05; ,24,0.00241196; ,0.000320383; ,11,
51,0.00360469,19,0.00206466,0.00278417,0.00241202; ,7.95102e-05; ,30,0.0024119; ,0.000685997; ,11,
52,0.00518411,22,0.00122415,0.00307426,0.00241183; ,0.00107899; ,34,0.00241208; ,0.000399439; ,13,
53,0.00989469,25,-0.000287764,0.00446955,0.00241207; ,0.000374176; ,38,0.0024122; ,0.00112545; ,14,
54,0.00938293,25,-0.000799525,0.00395778,0.00241185; ,0.000945954; ,38,0.00241213; ,0.000725966; ,14,
55,0.00519026,22,0.0012303,0.00308042,0.00241179; ,0.00133265; ,34,0.00241209; ,0.000472833; ,13,
56,0.00121339,18,0.00203391,0.00275342,0.00241191; ,0.000611657; ,30,0.002412; ,4.49593e-05; ,12,
57,0.00766918,24,0.000236731,0.00370922,0.00241211; ,0.000580085; ,36,0.00241202; ,8.86559e-05; ,12,
58,0.00468254,21,0.00179206,0.00314251,0.00241189; ,0.000740627; ,32,0.00241209; ,0.000506417; ,11,
59,0.00637013,23,0.000944986,0.00347965,0.00241207; ,0.000373881; ,34,0.002412; ,3.33933e-05; ,12,
60,0.00577849,22,0.00181853,0.00366865,0.00241194; ,0.000455393; ,34,0.00241196; ,0.00031129; ,13,
61,0.00093369,19,0.0020578,0.00304353,0.00241209; ,0.000513147; ,30,0.0024118; ,0.00126966; ,14,
62,0.00613636,23,0.000711215,0.00324588,0.00241231; ,0.00180315; ,34,0.00241209; ,0.000489901; ,17,
